url,language,paragraph
https://nl.wikipedia.org/wiki/Paul-Emile_Janson,nl,"Paul-Emile Janson(Brussel,30 mei1872- concentratiekamp Buchenwald,3 maart1944) was de Belgischeeerste ministervan november 1937 tot mei 1938."
https://nl.wikipedia.org/wiki/Jules_Malou,nl,"Jules Edouard François-Xavier Malou(Ieper,19 oktober1810-Sint-Lambrechts-Woluwe,11 juli1886) was een Belgischpoliticus. Hij was onder meer leider van de Katholieke Partij,volksvertegenwoordiger,senatoreneerste minister."
https://nl.wikipedia.org/wiki/Charles_de_Broqueville,nl,"Charles Marie Pierre Albert graaf de Broqueville(Postel,4 december1860-Brussel,5 september1940) was de Belgischekabinetsleider tijdens de Eerste Wereldoorlog(van17 juni1911 tot1 juni1918) en eerste minister van22 oktober1932 tot20 november1934. Hij was lid van de Katholieke Partij."
https://nl.wikipedia.org/wiki/Joseph_Pholien,nl,"Joseph Clovis Louis Marie Emmanuel Pholien(Luik,28 december1884–Brussel,4 januari1968) was een Belgischpoliticusvan de PSC."
https://nl.wikipedia.org/wiki/Jean_Van_Houtte,nl,"Jean Maria Josephus baron Van Houtte(Gent,17 maart1907–Brussel,23 mei1991) was een Belgischadvocaat,hoogleraarenpoliticusvan de CVP."
https://nl.wikipedia.org/wiki/Walth%C3%A8re_Fr%C3%A8re-Orban,nl,"Hubert Joseph Walthère Frère-Orban(Luik,24 april1812–Brussel,2 januari1896) was een Belgischliberaalpoliticusdie zijn stempel heeft gedrukt op de eerste halve eeuw onafhankelijkheid van België."
https://nl.wikipedia.org/wiki/Gerard_Cooreman,nl,"Gérard François Marie (Gerard) Cooreman(Gent,25 maart1852–Brussel,2 december1926) was een Belgischadvocaatenpoliticusvoor dekatholieke Partij."
https://nl.wikipedia.org/wiki/Jules_Vandenpeereboom,nl,"Jules Pierre Henri François Xavier Vandenpeereboom(Kortrijk,18 maart1843-Anderlecht,6 maart1917) was een Belgischkatholiekpoliticus."
https://nl.wikipedia.org/wiki/Paul_de_Smet_de_Naeyer,nl,"Paul Joseph graaf de Smet de Naeyer(Gent,13 mei1843–Brussel,9 september1913) was een Belgischkatholiekpoliticus."
https://nl.wikipedia.org/wiki/Jules_de_Trooz,nl,"Baron Jules Henri Ghislain Marie de Trooz(Leuven,21 februari1857-Brussel,31 december1907) was een Belgischkatholiekpoliticus."
https://nl.wikipedia.org/wiki/Jules_Joseph_d%27Anethan,nl,"Jules Joseph d'Anethan(Brussel,23 april1803-Schaarbeek,8 oktober1888) was een Belgischpoliticus. Hij waspremiervan 2 juli 1870 tot 7 december 1871."
